synset.id,synset.lemma,lemma,POS,Polarity,Collocates,Similar_DSM_dependency,Cause,Result,Sense_num,Emotion_prob,A_Member_of,HYPO,Emily,Yvonne,Amber,MEAN,SD,SCALE,afverb1,afverb2,afverb3,bfverb1,bfverb2,bfverb3
,,傷感,V,neg,"{極其,話,因為,卻,很,最,那,說,我,而}",,,,2,,sadness,,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,"混合(VC),冷漠(VH),一樣(VH)","走出(VCL),請(VF),說(VE)","開(VC),遏止不了(VC),讀書(VA)","騁思(VA),陌生(VI),疲累(VH)","透著(VJ),變遷(VH),談(VE)","非(VH),遠(VH),遇上(VC)"
,,心痛,V,neg,"{心碎,心痛,感到,令,還是,覺得,仍,事,地,卻}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"難(VH),流淚(VA),心碎(VH)","讓開(VA),說(VE),表示(VE)","顯著(VH),這樣(VH),談到(VE)","鼻酸(VH),感到(VK)","難眠(VA),這樣(VH),讓(VL)","隨侍在側(VA),緩慢(VH),碧綠(VH)"
,,惱怒,V,neg,"{道,又,了,在,的}",,,,1,,{sadness;angry},,-3,-3,-3,-3,0,-0.843143077,"報,復,(,V,C,)","道(VE),絕望(VH),粗聲(VH)","騙(VC),道(VE),說(VE)","略顯(VK),故作(VG)","難,堪,(,V,H,),[,+,n,o,m,]","辛苦(VHC),貧富懸殊(VH),吃驚(VH)"
,,痛苦,V,neg,"{深淵,喜樂,哀嚎,呻吟,打針,梁啟超,掙扎,煎熬,可想而知,不堪}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"麻木不仁(VH),飲進來(VB),難當(VH)","體驗(VC)[+vrv],體驗(VC),面對(VC)","體驗(VC),飲茶(VA),面對(VC)","麻痺(VC),體會(VK),飽受(VJ)","高(VH),體會(VK),驚慌(VH)","高漲(VH),高(VH),體會到(VK)"
,,辛酸,V,neg,"{血淚,不平,委屈,歲月,無奈,痛苦,知,過程,過去,其}",,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,"表露無遺(VB),有(V_2),委屈(VHC)","踩(VC),絕望(VH),痛苦(VH)","重塑(VC),貧乏(VH),表示(VE)","走過(VCL),見(VC),蒸散出(VC)","遭遇(VJ),辛苦(VHC),跑新聞(VA)","身為(VG),說明(VE),看(VC)"
,,哀愁,V,neg,"{美麗,充滿,如此,與,我,會,也}",,,,1,,sadness,,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,"轉換成(VG),交織(VJ)","見(VE),美麗(VH),流動(VA)","論(VC),繼續(VF),綜合(VC)","變成(VG),美麗(VH),徒增(VJ)","開(VH)[+vrr],美麗(VH),緩慢(VH)","湧起(VA),沖淡(VC),排除(VC)"
,,失落,V,neg,"{原鄉,地平線,揚棄,失落,情結,寂寞,挫折,現代人,題目,記憶}",,,,2,,sadness,,-2,-2,-2,-2,0,-0.381607879,"迷惘(VH),綜合(VC),絕望(VH)","難過(VK),重造(VC),試(VF)","驅使(VL),開闊(VHC),重要(VH)","頓感(VK),難掩(VC),錯愕(VH)","面臨(VK),難逃(VJ),隱約(VH)","點石成金(VA),面臨(VK),面對(VC)"
,,煩憂,V,neg,,,,,1,,{sadness;fear},,-2,-2,-2,-2,0,-0.381607879,,,,,,
,,憂煩,V,neg,,,,,1,,{sadness;fear},,-2,-2,-2,-2,0,-0.381607879,"堆,積,(,V,C,)",,,,,
,,哀傷,V,neg,"{靈琴,眼神,令,看到,心,著,卻}",,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"那樣(VH),逝去(VH),滲過(VC)","默禱(VE),領回(VC),起自(VJ)","踏(VC),講(VE),聽聽(VE)","驚覺(VK),陷入(VCL),覺得(VK)","震驚(VHC),遇害(VH),調變(VA)","透露出(VK),讓(VL),證實(VE)"
,,憂傷,V,neg,"{憤怒,心,因,著,每,地,中,我們,而,她}",,,,1,,{sadness;fear},,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"痛悔(VK),無奈(VH),為(VG)","訴說(VE),煩躁(VH),渴慕(VJ)","響(VH),關(VC),過世(VH)","鬱悶(VH),無限(VH),沈重(VH)","陷溺(VI),痛苦(VH),烘托出(VC)","顯露出(VJ),逃家(VA),發現(VE)"
,,憂愁,V,neg,"{煩惱,快樂,只有,需要,卻,著,地,你}",,,,1,,{sadness;fear},,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,"渲染到(VC),到(VCL),優美(VH)","重壓(VC)[+nom],緊緊(VH),突顯(VJ)","需要(VK),遵守(VJ),轉化成(VG)","解(VC),視為(VG),突破(VC)","露出(VC),這樣(VH),看到(VE)","露(VC),需要(VK),迷濛(VH)"
,,悲哀,V,neg,"{臺灣人,神色,感到,難過,台灣人,真是,身為,實在,中國人,在於}",,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"難過(VK),莫此為甚(VH),知(VK)","顛倒(VC),靠(VJ),道(VE)","難過(VK),道(VE),讓(VL)","透出(VJ),留下(VC),特別(VH)","高興(VK),驕傲(VH),願(VK)","願意(VK),離別(VB),迷路(VH)"
,,哀戚,V,neg,,,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"環,聚,(,V,A,)","舉,行,(,V,C,)",,,,"成眠(VA),小殮(VA)"
,,悲痛,V,neg,"{感到,心,比,得,她,裡,中,還,時,以}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"逾恆(VH),不已(VH)","預感到(VK),難過(VK),籌備(VC)","雄渾(VH),舊(VH),繼續(VF)","體會(VK),這樣(VH),抒(VE)","遽逝(VH),諫國(VA),衝動(VH)","體會(VK),讓(VL),認屍(VA)"
,,哀痛,V,neg,"{不已,家人,對,一,的}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"逾恆(VH),欲(VK),憤怒(VH)","絕,(,V,H,)","催(VF),值得(VH)","表,示,(,V,E,)","感到(VK),入土(VA),充滿(VJ)","逝(VH),天人永隔(VH)"
,,憂鬱,V,neg,"{陰沉,失智,記憶力,老年,憂鬱,劑,想必,抗,眼神,症狀}",,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"高(VH),迷惘(VH),處理(VC)","長長(VH),重要(VH),跳樓(VA)","顯得(VK),陰沉(VH),身亡(VH)","陷於(VJ),陷入(VCL),陰柔(VH)","陷入(VCL),陰沉(VH),開始(VL)","長久(VH),適應(VJ),走出(VCL)"
,,憂鬱,N,neg,"{陰沉,失智,記憶力,老年,憂鬱,劑,想必,抗,眼神,症狀}",,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"高(VH),迷惘(VH),處理(VC)","長長(VH),重要(VH),跳樓(VA)","顯得(VK),陰沉(VH),身亡(VH)","陷於(VJ),陷入(VCL),陰柔(VH)","陷入(VCL),陰沉(VH),開始(VL)","長久(VH),適應(VJ),走出(VCL)"
,,尷尬,V,neg,"{處境,場面,化解,自在,勸,有點,見面,氣氛,地位,有些}",,,,1,,sadness,,-1,-1,-2,-1.333333333,0.577350269,-0.073917747,"難堪(VH),表示(VE),漫長(VH)","鬆開(VHC),難過(VK),避免(VE)","點名(VA),面對(VC),開獎(VH)","陷於(VJ),陷入(VCL),避免(VE)","顯得(VK),陷入(VCL),錄音(VB)","顯(VK),陷(VHC),遇到(VC)"
,,悻悻,V,neg,{地},,,,1,,sadness,,-1,-3,-3,-2.333333333,1.154700538,-0.535452945,,"逛(VC),返回(VCL),說(VE)",,,"落,敗,(,V,H,)",
,,悵然,V,neg,"{著,他,了,一,的}",,,,1,,sadness,,-1,-2,-2,-1.666666667,0.577350269,-0.227762813,"離開(VC),走(VA),落寞(VH)","返(VCL),茫然(VH),若有所失(VH)","成(VG),守(VC),去(VCL)",,"錯身(VB),止步(VA)","自由(VH),留下(VC),生出(VC)"
,,漠然,V,neg,"{看,自己,卻,得,著,對,一,的}",,,,1,,sadness,,-1,-2,-2,-1.666666667,0.577350269,-0.227762813,"量測(VC),道(VE),處(VCL)","面對(VC),看(VC),消沉(VH)","開始(VL),身為(VG),有(V_2)","表現出(VC),抹上(VC)","故意(VL),巨大(VH),客觀(VH)","物化成(VG),事不關己(VH)"
,,羞愧,V,neg,"{罪惡,感到,地,才,沒有,但,對,不,我}",,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,"惶惑(VH),加上(VC)","面對(VC),這樣(VH),請(VF)","髒(VH),願(VK),輕生(VA)","覺得(VK),罪惡(VH),感到(VK)","面紅耳赤(VH),自責(VA),自卑(VH)","自慰(VA),笑(VA),沒有(VJ)"
,,愁悶,V,neg,,,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,,,,,,
,,煩悶,V,neg,"{煩悶,心情,的話,心,覺得,裡,很,對,了,我}",,,,1,,sadness,,-2,-2,-3,-2.333333333,0.577350269,-0.535452945,"苦惱(VH),焦躁(VH),有(V_2)","煩悶(VH),打算(VF),少(VH)","需要(VK),覺得(VK),煩悶(VH)","解決(VC),解(VC),覺得(VK)","調劑(VC),覺得(VK),苦惱(VH)","現實(VH),煩悶(VH),有(V_2)"
,,惆悵,V,neg,"{一,了,有,的,是}",,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,"爬上(VCL),感慨(VE),大於(VJ)","飛(VA),走(VA)[+vrv],感傷(VK)","留(VC),照相(VB),無情(VH)","滋,生,(,V,J,)","無限(VH),收起(VC),帶(VC)","追懷(VJ),說(VE),有(V_2)"
,,苦悶,V,neg,"{徬徨,壓抑,掙扎,創造,找,歷史,生活,工作,社會,由}",,,,1,,sadness,,-2,-2,-3,-2.333333333,0.577350269,-0.535452945,"痛苦(VH),為(VG),刻板(VH)","需要(VK),紊亂(VH),看(VC)","追求(VC),解決(VC),站(VA)","鬱卒(VH),解(VC),覺得(VK)","鬱積(VH),鬱卒(VH),膠著(VH)","錄下(VC),超乎(VJ),描述(VC)"
,,懊惱,V,neg,"{不已,感到,實在,一直,雖然,過去,心,覺得,不過,事}",,,,1,,sadness,,-3,-1,-3,-2.333333333,1.154700538,-0.535452945,"靜靜(VH),錯過(VJ),壓(VC)","說(VE),覺得(VK),糾纏(VC)","養成(VC),開悟(VH),踅入(VCL)","覺得(VK),深感(VK),沒有(VJ)","驚奇(VK),過來(VA)[+vrr],這樣(VH)","黑(VH),高興(VK),過去(VA)"
,,苦澀,V,neg,"{咖啡,口,帶,想,能,種,著,我,而}",,,,1,,sadness,,-3,-2,-3,-2.666666667,0.577350269,-0.689298011,"疼痛(VH),交織(VJ),不堪(VK)","算是(VG),空幻(VH),硬(VH)","達到(VJ),記得(VK),昇華為(VG)","追求(VC),略帶(VC),成長(VH)","行遊(VCL),融合(VC),甜蜜(VH)","香醇(VH),降(VC),遠眺(VC)"
,,寂寥,V,neg,"{中,著,的,一,在}",,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,"空,曠,(,V,H,)","襲(VC)[+p2],空虛(VH),步下(VCL)","開始(VL),觸怒(VC),湧上(VCL)","荒涼(VH),打發(VC),慰(VC)","顯得(VK),熟悉(VJ),漂蕩(VA)","遍野(VH),無比(VH),小心(VK)"
,,苦惱,V,neg,"{人生,感到,十分,原因,令,心,人類,非常}",,,,1,,{sadness;fear},,-2,-2,-3,-2.333333333,0.577350269,-0.535452945,"沒有(VJ),不已(VH)","逃避(VC),走過來(VA),覺得(VK)","陷入(VCL),遺忘(VK),造成(VG)","自尋(VC),給(VD),煩悶(VH)","解決(VC),處理(VC),給(VD)","難(VH),陌生(VI),造成(VG)"
,,哀思,V,neg,{的},,,,1,,sadness,,-2,-1,-2,-1.666666667,0.577350269,-0.227762813,,,,"深,沉,(,V,H,)",,
,,憂惱,V,neg,,,,,1,,{sadness;fear},,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,,"致,使,(,V,L,)",,,,
,,憂悶,V,neg,{的},,,,1,,{sadness;fear},,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,,,"像,(,V,G,)","踏,(,V,C,)","鬱結(VH),猛(VH),恐慌(VH)","沖,沖,(,V,C,)"
,,鬱卒,V,neg,"{酒,而,的}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"苦,悶,(,V,H,)","苦悶(VH),死(VH),坐(VA)","滿腹(VH),想到(VE),彈鋼琴(VA)","煩躁(VH),有(V_2)","認為(VE),覺得(VK),產生(VHC)","開胃(VH),賣(VD),編審(VC)"
,,愁悵,V,neg,,,,,1,,sadness,,-2,-2,-3,-2.333333333,0.577350269,-0.535452945,,"走,到,(,V,C,L,)",,,,
,,心酸,V,neg,"{無奈,令,故事,人,看,與,我,了,有,也}",,,,1,,sadness,,-3,-1,-2,-2,1,-0.381607879,"道(VE),落淚(VA),無奈(VH)","辛苦(VHC),總括(VC),笑(VA)[+vrv]","抱歉(VK),征(VC),在(VCL)","覺得(VK),有(V_2),不禁(VL)","讓(VL),無奈(VH),撕(VC)","讀(VC),矛盾(VH),看(VC)"
,,悲涼,V,neg,"{竟,中,種,與,了,這,的,一,是}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"難(VH),沉重(VH)","點綴(VC),釋(VC),說(VE)","沒,入,(,V,C,)","無奈(VH),帶(VC),寂寞(VH)","黯然神傷(VH),顯得(VK),難料(VE)","萌生(VJ),生起(VC),流露出(VJ)"
,,落寞,V,neg,"{神色,心情,覺得,著,卻,裡,地,她,種,與}",,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,"閒愁(VH),買回(VC),寡言(VH)","驚恐(VH),離開(VC),覺得(VK)","試(VF),置身(VCL),熱切(VH)","麻木(VH),變得(VJ),訪問(VC)","飽嘗(VC),飛揚(VA),開始(VH)","難(VH),滑落(VA),消失(VA)"
,,愁苦,V,neg,"{或,一,的}",,,,1,,sadness,,-3,-2,-3,-2.666666667,0.577350269,-0.689298011,"激動(VH),可憐(VHC)","迎刃而解(VH),走出(VCL),美(VH)","覺得(VK),有(V_2),困懼(VK)","走出(VCL),覺(VK)","無助(VH),歡樂(VH)","表現出(VC),愛樂(VH)"
,,哀怨,V,neg,"{著,的}",,,,1,,sadness,,-3,-2,-3,-2.666666667,0.577350269,-0.689298011,"絕倫(VH),為(VG),憂傷(VH)","望(VC),指責(VC),悵惘(VH)","道(VE),迴盪(VH),用(VC)","老沈(VH),纏綿(VH),淒涼(VH)","纏綿(VH),異(VH),淡漠(VH)","死去活來(VH),播(VC),呈現(VJ)"
,,沮喪,V,neg,"{焦慮,神情,失望,挫折,心情,恐懼,內心,感到,緊張,情緒}",,,,1,,sadness,,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,"退縮(VA),欲(VK),描繪(VC)","離去(VA),遺憾(VK),變(VG)","變(VG),談完(VC),解釋(VE)","造成(VK),覺得(VK),覺(VK)","過(VCL),覺得(VK),自憐(VH)","造成(VK),這樣(VH),讓(VL)"
,,悲愁,V,neg,,,,,1,,{sadness;fear},,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,,"孤,獨,(,V,H,)","不,安,(,V,H,)",,"飄出(VA),折磨(VC)","充,滿,(,V,J,)"
,,酸楚,V,neg,"{那,我,的}",,,,1,,sadness,,-3,-3,-1,-2.333333333,1.154700538,-0.535452945,,"錐心(VH),芬芳(VH),祭奠(VC)","隱藏(VC),混合(VC),包圍(VC)","哽,泣,(,V,A,)","陷入(VCL),無奈(VH),帶(VC)","認識(VJ),張羅(VC),噴洩(VC)"
,,抑鬱,V,neg,"{終,而,不,也,是,一,的}",,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"抒發(VC),寡言(VH),失志(VH)","終(VH),歿(VH),死(VH)",,"造成(VG),躁狂(VH),舒展(VHC)","娶(VC),不盡(VH)","湊進(VC),恍如(VG),幽居(VA)"
,,憂憤,V,neg,,,,,1,,{sadness;angry},,-3,-3,-3,-3,0,-0.843143077,"相交(VA),孤寂(VH)",,"自殺(VA),終(VH)",,,
,,悽楚,V,neg,{的},,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,,"看,(,V,C,)",,,"帶(VC),偏愛(VJ)",
,,悲切,V,neg,,,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,,,,,"雄,渾,(,V,H,)","化,為,(,V,G,)"
,,傷痛,V,neg,"{撫平,憎恨,主,──,消失,心靈,或許,任何,心,無法}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"酷烈(VH),退場(VA),給(VD)","願(VK),遠遠(VH),苦(VH)","難(VH),開始(VL),透露(VE)","飽受(VJ),面對(VC),遠離(VCL)","離鄉背井(VA),離婚(VA),這樣(VH)","離開(VC),覺得(VK),減輕(VHC)"
,,悲情,V,neg,"{威尼斯,影展,城市,走出,不再,似乎,電影,女性}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"點亮(VC),不再(VH)","顯示(VK),重建(VC),迎向(VC)","飛入(VC),重要(VH),迢迢(VH)","革命(VA),釋放(VC),趕出(VCL)","變成(VG),脫離(VC),矚目(VB)","道盡(VE),走出(VCL),讓(VL)"
,,悲苦,V,neg,"{自己,那,她,人,有,中,不,的,是,我}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"無奈(VH),昇華(VH),承受(VC)","活潑(VH),有(V_2),放(VC)","飲恨(VH),沒有(VJ),有(V_2)","脫離(VC),結束(VHC),無奈(VH)","迫得(VF),迎來(VC),表現(VC)","面對(VC),避免(VE),迫害(VC)"
,,痛心,V,neg,"{深感,感,遺憾,令,感到,十分,事實,非常,認為,讓}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"離開(VC),離(VC),憤慨(VH)","說(VE),試想(VE),訝異(VK)","遭來(VC),造成(VK),透過(VJ)","表示(VE),深感(VK),感到(VK)","遺憾(VK),讓(VL),請問(VE)","讓(VL),知情(VI),深表(VE)"
,,沉鬱,V,neg,{的},,,,1,,sadness,,-3,-2,-3,-2.666666667,0.577350269,-0.689298011,"跌(VH),孤獨(VH)","降(VC),老蒼(VH),淹沒(VC)","烘,托,出,(,V,C,)",,"樸茂(VH),悽苦(VH)","趨於(VL),變成(VG)"
,,悲憤,V,neg,"{化,力量,心情,然而,她,為,大,他,要}",,,,1,,{sadness;angry},,-3,-3,-3,-3,0,-0.843143077,"難抑(VC),難平(VH),絕望(VH)","需要(VK),責打(VC)[+nom],湧(VA)","造成(VK),痛哭(VA),決定(VE)","露出(VC),豪放(VH),覺得(VK)","造成(VK),瀟灑(VH),激昂(VH)","道出(VE),聊釋(VC),疑惑(VH)"
,,悲愴,V,neg,"{奏鳴曲,生命,時,著,中,為,這,了}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"進入(VCL),感人(VH),大(VH)","道(VE),沉靜(VH),撲到(VC)","隱,藏,(,V,C,)","無限(VH),有(V_2),感到(VK)","非(VG),賁張(VH),感覺到(VK)","飲泣(VA),隱藏(VC),殉情(VA)"
,,悽慘,V,neg,"{景象,一,的}",,,,1,,sadness,,-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"無,比,(,V,H,)","痛苦(VH),形容(VE),可怕(VH)","覺得(VK),有限(VH)",,"萎頓(VH),寂寞(VH)","露出(VC),陷入(VCL),凋敝(VH)"
,,悲慟,V,neg,"{也,的}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"涕零(VH),不已(VH)","震天(VH),狂喜(VH),哭(VA)","表示(VE),狂熱(VH),住在(VCL)","死(VH)[+nom],擔憂(VK)[+nom],感到(VK)","掙扎(VA),去世(VH)","飛揚(VA),辨認(VC),表達(VC)"
,,悲鬱,V,neg,,,,,1,,sadness,,-3,-2,-3,-2.666666667,0.577350269,-0.689298011,,,,,"訝,異,(,V,K,)",
,,鬱悶,V,neg,"{心情,不滿,情緒,心,開始,會,種,而}",,,,1,,sadness,,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,"消解(VC),憂傷(VH),怎麼著(VH)","開始(VL),開(VH),短短(VH)","舊(VH),氣憤(VH),提筆(VA)","開始(VL),特別(VH),煩躁(VH)","覺得(VK),紓解(VJ),沉(VA)","解決不了(VC),表現出(VC),沒有(VJ)"
,,悲慘,V,neg,"{雨果,可悲,悲慘,下場,共產,結局,遭遇,命運,經歷,一生}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"難堪(VH),莫此為甚(VH),死亡(VH)","高懸(VC),遭受(VJ),籠罩(VH)","那樣(VH),違反(VJ),與會(VA)","貧困(VH),痛苦(VH),沈寂(VH)","風雨飄搖(VH),面臨(VK),錯亂(VH)","面臨(VK),重譯(VC),貧窮(VH)"
,,沉痛,V,neg,{的},,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"難忘(VK),嘆息(VA)","說(VE),化作(VJ)","吶,喊,(,V,A,)",,"無言(VH),憂鬱(VH)","殉,難,(,V,H,)"
,,絕望,V,neg,"{掉入,掙扎,失望,痛苦,放棄,首,人生,死,完全,出現}",,,,1,,sadness,,-3,-3,-3,-3,0,-0.843143077,"轉變為(VG),莫過於(VG),痛苦(VH)","黑暗(VH),黑(VH),餓死(VHC)","面臨(VK),離婚(VA),達到(VJ)","近乎(VG),跨越(VCL),跌入(VCL)","阻止(VC),遇到(VC),這樣(VH)","開始(VL),迫在眉梢(VH),說(VE)"
,,緊張,V,neg,"{走秀,臺海,轉趨,朝鮮半島,美伊,爭鬥,手足無措,緩和,台海,情勢}",,,,4,,fear,,-2,-3,-1,-2,1,-0.381607879,"難(VH),開始(VL),造成(VK)","頭痛(VH),靠進(VA),隸屬(VJ)","預留(VC),難纏(VH),離開(VC)","鬆弛(VHC),顯(VK),露出(VC)","麻木(VH),鬥爭(VC),鬆弛(VHC)","鼻塞(VH),高興(VK),顯現(VH)"
,,緊張,N,neg,"{走秀,臺海,轉趨,朝鮮半島,美伊,爭鬥,手足無措,緩和,台海,情勢}",,,,1,,,,-2,-3,-1,-2,1,-0.381607879,"難(VH),開始(VL),造成(VK)","頭痛(VH),靠進(VA),隸屬(VJ)","預留(VC),難纏(VH),離開(VC)","鬆弛(VHC),顯(VK),露出(VC)","麻木(VH),鬥爭(VC),鬆弛(VHC)","鼻塞(VH),高興(VK),顯現(VH)"
,,害怕,V,neg,"{清閒,惶恐,有點兒,害怕,驚慌,顫抖,發抖,大哭,恐懼,孤單}",,,,1,,,"{緊張,擔心,擔憂,焦急,恐懼,憂心,煩憂,憂煩,憂傷,憂愁,憂慮,急切,牽腸掛肚,徬徨,心急,慌張,著急,誠惶誠恐,操心,心有餘悸,煩惱,受驚,驚慌,惶惶,惶惑,煩心,心煩,忐忑不安,焦灼,心慌,發愁,犯愁,苦惱,焦心,膽戰心驚,驚恐,憂惱,膽怯,憂悶,心焦,焦慮,畏怯,心驚肉跳,畏懼,心急如焚,悲愁,如坐針氈,心驚膽顫,驚駭,懼怕,恐怖}",-2,-3,-2,-2.333333333,0.577350269,-0.535452945,"驚恐(VH),面對(VC),陌生(VI)","高達(VJ),高興(VK),騎車(VA)","鼓勵(VF),鬥爭(VC),驅散(VC)","驚慌(VH),驚呼(VE),顫抖(VAC)","高興(VK),驚慌(VH),顯得(VK)","黑(VH),鮮血淋漓(VH),飛行(VA)"
,,害怕,N,neg,"{清閒,惶恐,有點兒,害怕,驚慌,顫抖,發抖,大哭,恐懼,孤單}",,,,1,,,"{緊張,擔心,擔憂,焦急,恐懼,憂心,煩憂,憂煩,憂傷,憂愁,憂慮,急切,牽腸掛肚,徬徨,心急,慌張,著急,誠惶誠恐,操心,心有餘悸,煩惱,受驚,驚慌,惶惶,惶惑,煩心,心煩,忐忑不安,焦灼,心慌,發愁,犯愁,苦惱,焦心,膽戰心驚,驚恐,憂惱,膽怯,憂悶,心焦,焦慮,畏怯,心驚肉跳,畏懼,心急如焚,悲愁,如坐針氈,心驚膽顫,驚駭,懼怕,恐怖}",-2,-3,-2,-2.333333333,0.577350269,-0.535452945,"驚恐(VH),面對(VC),陌生(VI)","高達(VJ),高興(VK),騎車(VA)","鼓勵(VF),鬥爭(VC),驅散(VC)","驚慌(VH),驚呼(VE),顫抖(VAC)","高興(VK),驚慌(VH),顯得(VK)","黑(VH),鮮血淋漓(VH),飛行(VA)"
,,擔心,V,neg,"{蔡鐘雄,優先性,安危,生物學家,不用,漂白,無須,黑名單,不必,不需}",,,,1,,fear,,-1,-3,-2,-2,1,-0.381607879,"黑(VH),鬆弛(VHC),高速(VH)","高齡化(VHC),騷擾(VC),飲用(VC)","黑吃黑(VA),鬆懈下來(VH),高興(VK)","飽受(VJ),需要(VK),需不需要(VK)","鳳毛麟角(VH),驚喜(VH),騷動(VA)","騷擾(VC),騙(VC),駁斥(VC)"
,,擔憂,V,neg,"{著實,擔憂,文建會,前途,令,倒是,不禁,不必,頗,擔心}",,,,1,,fear,,-2,-3,-2,-2.333333333,0.577350269,-0.535452945,"照顧(VC),沒有(VJ),擔心(VK)","開放(VC),銳減(VH),足以(VL)","道(VE),辛苦(VHC),認錯(VA)","開始(VL),發展(VC),有所(VJ)","需要(VK),陰鬱(VH),醒(VA)","隱藏(VC),足夠(VH),讓(VL)"
,,焦急,V,neg,"{萬分,家屬,等待,心,有的,一直,便,地,裡,很}",,,,1,,fear,,-2,-3,-3,-2.666666667,0.577350269,-0.689298011,"跳入(VCL),趕路(VA),解釋(VE)","逼(VF),跑到(VCL),說(VE)","道(VE),說(VE),見(VE)","生(VC),傳來(VC)","顯得(VK),等待(VK),知情(VI)","發現到(VE),杳然(VH),有(V_2)"
,,恐懼,V,neg,"{戒慎,免於,驚惶,發狂,敬畏,莫名,訴諸,地景,未知,恐懼}",,,,1,,fear,,-3,-3,-3,-3,0,-0.843143077,"閏(VJ),遷往(VCL),造成(VG)","驚惶(VH),飢寒交迫(VH),難過(VK)","顯露(VK),難安(VH),難(VH)","驚詫(VH),驚疑(VH),驚惶(VH)","黑暗(VH),麻痺掉(VC),鬱悶(VH)","麻煩(VHC),體罰(VC),驚詫(VH)"
,,憂心,V,neg,"{深感,頗為,感到,令,不已,危機,關心,在於,家長,現象}",,,,1,,fear,,-3,-2,-2,-2.333333333,0.577350269,-0.535452945,"重重(VH),衍生(VC),焦慮(VH)","面對(VC),陰陰沉沉(VH),關聯(VI)[+nom]","足以(VL),說(VE),認為(VE)","足以(VL),表達(VC),表示(VE)","震驚(VHC),關心(VK),關切(VJ)","鄙視(VJ),逝去(VH),辦事(VA)"
,,憂慮,V,neg,"{操心,深感,單親,令,感到,值得,不足,金融,結束,充滿}",,,,1,,fear,,-3,-2,-3,-2.666666667,0.577350269,-0.689298011,"開放(VC),煎熬(VC),歸(VJ)","面對(VC),關切(VJ),輸入(VC)","面對(VC),需要(VK),道(VE)","需要(VK),讓(VL),表示(VE)","關心(VK),長大(VH),讓(VL)","驅趕(VC),面對(VC),重大(VH)"
,,急切,V,neg,"{問道,心情,想要,需要,地,想,心,下,著,用}",,,,1,,fear,,-1,-3,-1,-1.666666667,1.154700538,-0.227762813,"需要(VK),談判(VC),自責(VA)","邀請(VC),說(VE),詢問(VE)","開始(VH),說明(VE),表達出(VE)","面對(VC),這樣(VH),虔誠(VH)","輕鬆(VH),聽(VE),福傳(VB)","起身(VA),說(VE),見(VE)"
,,牽腸掛肚,V,neg,"{不,的}",,,,1,,fear,,-1,-2,-3,-2,1,-0.381607879,,"望,眼,欲,穿,(,V,H,)","怕,(,V,K,)",,"讓,(,V,L,)","幸,會,(,V,H,)"
